Participant_ID,Gender,Fixation Index_mean,Fixation Index by Stimulus_mean,Fixation X_mean,Fixation Y_mean,Fixation Start_mean,Fixation End_mean,Fixation Duration_mean,Fixation Dispersion_mean
1,Unknown,1196.6834593042117,1195.6834593042117,901.5122442856366,568.6189304664177,405034.8328183976,405420.66954333836,385.83672494075023,0.2303025453283456
2,Unknown,1478.286409009354,1478.286409009354,861.5846727033577,489.2546216592231,472482.1469425152,472833.1090203561,350.962077840867,0.25326088508112826
3,Unknown,2358.5873366801757,2358.5873366801757,970.4923741208856,531.2485448257114,925797.1637313664,926142.5903293558,345.42659798912695,0.21179587153110382
4,Unknown,1090.2111183817076,1090.2111183817076,861.0033772954389,450.5856936199593,564847.9107688508,565069.2464322057,221.33566335490798,0.34179612465393566
5,Unknown,2511.7724724847944,2510.7724724847944,847.8669186058047,527.6644180735657,848675.5177902059,849004.1054995359,328.587709329837,0.19485533248429035
6,Unknown,1245.873530220015,1244.873530220015,683.1635067066983,536.8233063591558,625287.7339319133,625497.2122782663,209.47834635292602,0.3816851538549464
7,Unknown,2093.1416157584354,2093.1416157584354,902.4042482418786,548.5719626715413,646978.3354692077,647275.5740545032,297.23858529539694,0.22283151833100362
8,Unknown,1179.4395469727463,1178.4395469727463,842.6909539003666,525.9239583024463,390732.0319529963,390987.2718727209,255.23991972457594,0.2643250327650498
9,Unknown,1790.2117366400814,1789.2117366400814,914.6783633921791,527.9355116784205,669179.3443104468,669529.0187518717,349.6744414246658,0.2342956980017635
10,Unknown,1891.3268352774512,1890.3268352774512,878.9743359621178,567.0471538090669,588489.4580675347,588795.2522326827,305.79416514809554,0.1973006038870978
11,Unknown,2455.34760633803,2453.34760633803,935.3948985496412,618.410732143356,758843.2568227426,759098.215432654,254.95860991157562,0.18058748566717875
12,Unknown,1836.9816103261226,1834.9816103261226,847.5564603341539,565.7351651473433,664305.6844617277,664553.1339840164,247.44952228878526,0.28479068081245174
13,Unknown,2236.8313320780167,2235.8313320780167,801.70214088767,569.5788421182581,762052.723157358,762388.9926925277,336.2695351696105,0.18270293391692635
